csafp1,geoid1,csa_name.x,csa_pop.x,city_pop1,state,city1,lat1,long1,geoid2,csafp2,csa_name.y,csa_pop.y,city_pop2,city,lat2,long2,distance,est_ridership
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,3663000,464,"Rochester-Batavia-Seneca Falls, NY",1141965,207264,"Rochester, New York",43.157285,-77.615214,3481.876048379197,0.0013220117635005353
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2743000,378,"Minneapolis-St. Paul, MN-WI",4104786,425142,"Minneapolis, Minnesota",44.9772995,-93.2654692,2241.3575102797745,0.008878709464311369
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,5531000,267,"Green Bay-Shawano, WI",377217,105734,"Green Bay, Wisconsin",44.5126379,-88.0125794,2651.1505717600176,9.400347647484608e-4
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,5522300,232,"Eau Claire-Menomonie, WI",220667,70469,"Eau Claire, Wisconsin",44.811349,-91.4984941,2379.4886979127527,7.599102769667654e-4
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,3611000,160,"Buffalo-Cheektowaga-Olean, NY",1231204,274686,"Buffalo, New York",42.8867166,-78.8783922,3400.288827272254,0.0014722179050936726
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,5502375,118,"Appleton-Oshkosh-Neenah, WI",418168,75861,"Appleton, Wisconsin",44.2613967,-88.4069744,2631.2030240582694,0.0010363623217813631
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,1608830,147,"Boise City-Mountain Home-Ontario, ID-OR",913704,235416,"Boise City, Idaho",43.6166163,-116.200886,651.4008269850002,0.03160003093162352
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,4147000,366,"Medford-Grants Pass, OR",308589,85100,"Medford, Oregon",42.3264181,-122.8718605,589.0224939818485,0.01621736496307945
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,0952000,405,"New Haven-Hartford-Waterbury, CT",2665618,135307,"New Haven, Connecticut",41.3082138,-72.9250518,3919.380519818715,0.0020556215804057275
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2754880,462,"Rochester-Austin-Winona, MN",318856,122404,"Rochester, Minnesota",44.0234387,-92.4630182,2336.3769537663907,0.0010581068977510426
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,4652980,452,"Rapid City-Spearfish, SD",184027,79409,"Rapid City, South Dakota",44.0806041,-103.228023,1528.015245632559,0.0015936375720267428
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,1639700,292,"Idaho Falls-Rexburg-Blackfoot, ID",287460,67996,"Idaho Falls, Idaho",43.4887907,-112.03628,922.951973425394,0.006240845475274561
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,4224000,240,"Erie-Meadville, PA",349572,92953,"Erie, Pennsylvania",42.1294712,-80.0852695,3345.434786105826,5.554741749005875e-4
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2634000,266,"Grand Rapids-Wyoming, MI",1502552,196587,"Grand Rapids, Michigan",42.9632425,-85.6678639,2889.7072819216514,0.002390537726806193
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,3651000,408,"New York-Newark, NY-NJ-CT-PA",21859598,8258035,"New York, New York",40.7127281,-74.0060152,3869.7406167858885,0.011352453273874945
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2646000,330,"Lansing-East Lansing-Owosso, MI",541202,111269,"Lansing, Michigan",42.7338254,-84.5546295,2983.2379793591576,9.909492505383345e-4
